column,version,auc,verdict
D1,raw,0.5392371331228606,pass
D1,norm,0.9141188128207014,fail
D2,raw,0.5334618484995212,pass
D2,norm,0.7233155370148757,fail
D3,raw,0.5302478524039623,pass
D3,norm,0.882255792161911,fail
D4,raw,0.6246808643819878,fail
D4,norm,0.8192698335896966,fail
D5,raw,0.5502230097850646,fail
D5,norm,0.8374105446020417,fail
D6,raw,0.565158025793631,fail
D6,norm,0.635605829831291,fail
D7,raw,0.5267605727565912,pass
D7,norm,0.5725134913818222,fail
D8,raw,0.5155898038744168,pass
D8,norm,0.5834654246954297,fail
D9,raw,0.5101352630650802,pass
D9,norm,0.6272852659864931,fail
D10,raw,0.629726767448233,fail
D10,norm,0.8703426999352116,fail
D11,raw,0.5935721940706872,fail
D11,norm,0.7289443495403394,fail
D12,raw,0.5164619500694285,pass
D12,norm,0.5938939356361765,fail
D13,raw,0.5710653159496163,fail
D13,norm,0.6510918409854901,fail
D14,raw,0.5639266564120611,fail
D14,norm,0.6311472645837629,fail
D15,raw,0.6573232597629411,fail
D15,norm,0.8496809431999053,fail
